key,pKa,kind,prot_smi,prot_idx,dep_smi,dep_idx
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN[C@H](C)C3)c(F)c21,5.82,acid,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN[C@H](C)C3)c(F)c21,24,CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CCN[C@H](C)C3)c(F)c21,24
Cc1cc(Cl)ccc1O[C@@H](C)C(=O)O,3.78,acid,Cc1cc(Cl)ccc1O[C@@H](C)C(=O)O,12,Cc1cc(Cl)ccc1O[C@@H](C)C(=O)[O-],12
CC(=O)CS,7.86,acid,CC(=O)CS,4,CC(=O)C[S-],4
O=C1C[C@H](S)C(=O)N1,6.7,acid,O=C1C[C@H](S)C(=O)N1,7,O=C1C[C@H]([S-])C(=O)N1,7
O=C1C[C@H](S)C(=O)[N-]1,6.7,acid,O=C1C[C@H](S)C(=O)[N-]1,7,O=C1C[C@H]([S-])C(=O)[N-]1,7
COc1cc(CCN)cc(OC)c1OC,9.56,base,COc1cc(CC[NH3+])cc(OC)c1OC,14,COc1cc(CCN)cc(OC)c1OC,14
COC(=O)c1ccc(CNS(C)(=O)=O)cc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,4.35,acid,COC(=O)c1ccc(CNS(C)(=O)=O)cc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,11,COC(=O)c1ccc(CNS(C)(=O)=O)cc1S(=O)(=O)[N-]C(=O)Nc1nc(OC)cc(OC)n1,11
CS,10.33,acid,CS,1,C[S-],1
COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,3.8,acid,COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,12,COC(=O)c1ccccc1S(=O)(=O)[N-]C(=O)Nc1nc(C)nc(OC)n1,12
O=C(NO)c1cccc([N+](=O)[O-])c1,8.07,acid,O=C(NO)c1cccc([N+](=O)[O-])c1,12,O=C(N[O-])c1cccc([N+](=O)[O-])c1,12
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,6.31,acid,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,28,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3)c12,28
COc1c(N2C[C@@H]3CCC[NH2+][C@@H]3C2)c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3)c12,9.51,base,COc1c(N2C[C@@H]3CCC[NH2+][C@@H]3C2)c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3)c12,14,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3)c12,14
CC(=O)N[C@H](C(=O)O)C(C)(C)S,9.9,acid,CC(=O)N[C@H](C(=O)O)C(C)(C)S,11,CC(=O)N[C@H](C(=O)O)C(C)(C)[S-],11
CC(=O)N[C@H](C(=O)[O-])C(C)(C)S,9.9,acid,CC(=O)N[C@H](C(=O)[O-])C(C)(C)S,11,CC(=O)N[C@H](C(=O)[O-])C(C)(C)[S-],11
O=C(O)c1ccccc1C(=O)Nc1cccc2ccccc12,4.6,acid,O=C(O)c1ccccc1C(=O)Nc1cccc2ccccc12,21,O=C([O-])c1ccccc1C(=O)Nc1cccc2ccccc12,21
COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2C(=O)N(C)C)n1,4.6,acid,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2C(=O)N(C)C)n1,14,COc1cc(OC)nc(NC(=O)[N-]S(=O)(=O)c2ncccc2C(=O)N(C)C)n1,14
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,6.3,acid,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,22,CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CCNCC3)cc21,22
CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH2+]CC3)cc21,6.3,acid,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CC[NH2+]CC3)cc21,22,CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH2+]CC3)cc21,22
O=C(O)c1ccccc1C(=O)Nc1ccccc1,2.5,acid,O=C(O)c1ccccc1C(=O)Nc1ccccc1,17,O=C([O-])c1ccccc1C(=O)Nc1ccccc1,17
Cc1ccccc1S,6.64,acid,Cc1ccccc1S,7,Cc1ccccc1[S-],7
Cc1cc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2C(=O)OC2COC2)n1,5.1,acid,Cc1cc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2C(=O)OC2COC2)n1,10,Cc1cc(C)nc(NC(=O)[N-]S(=O)(=O)c2ccccc2C(=O)OC2COC2)n1,10
O=C(COc1ccc(Cl)cc1)NO,8.75,acid,O=C(COc1ccc(Cl)cc1)NO,11,O=C(COc1ccc(Cl)cc1)N[O-],11
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,6.28,acid,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,23,CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,23
CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH+](C)CC3)cc21,7.55,base,CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH+](C)CC3)cc21,17,CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,17
CC(C)(S)[C@@H](N)C(=O)O,7.9,acid,CC(C)(S)[C@@H](N)C(=O)O,8,CC(C)([S-])[C@@H](N)C(=O)O,8
CC(C)(S)[C@@H]([NH3+])C(=O)[O-],7.9,acid,CC(C)(S)[C@@H]([NH3+])C(=O)[O-],8,CC(C)([S-])[C@@H]([NH3+])C(=O)[O-],8
Oc1c(Br)c(Br)c(Br)c(Br)c1Br,4.62,acid,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,11,[O-]c1c(Br)c(Br)c(Br)c(Br)c1Br,11
CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,2.79,acid,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,22,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[O-],22
COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2CCC(F)(F)F)n1,3.76,acid,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2CCC(F)(F)F)n1,12,COc1nc(C)nc(NC(=O)[N-]S(=O)(=O)c2ccccc2CCC(F)(F)F)n1,12
CCOC(=O)c1cnn(C)c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,3.7,acid,CCOC(=O)c1cnn(C)c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,13,CCOC(=O)c1cnn(C)c1S(=O)(=O)[N-]C(=O)Nc1nc(OC)cc(OC)n1,13
COc1cc(OC)nc(Sc2cccc(Cl)c2C(=O)O)n1,2.34,acid,COc1cc(OC)nc(Sc2cccc(Cl)c2C(=O)O)n1,17,COc1cc(OC)nc(Sc2cccc(Cl)c2C(=O)[O-])n1,17
CCS(=O)(=O)c1cccnc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,4.0,acid,CCS(=O)(=O)c1cccnc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,14,CCS(=O)(=O)c1cccnc1S(=O)(=O)[N-]C(=O)Nc1nc(OC)cc(OC)n1,14
O=C(Nc1ccccc1)c1ccccc1O,7.4,acid,O=C(Nc1ccccc1)c1ccccc1O,15,O=C(Nc1ccccc1)c1ccccc1[O-],15
O=CO,3.742,acid,O=CO,2,O=C[O-],2
CCCC(=O)O,4.82,acid,CCCC(=O)O,5,CCCC(=O)[O-],5
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.74,acid,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,11,[O-]c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,11
Oc1c(F)c(F)c(F)c(F)c1F,5.6,acid,Oc1c(F)c(F)c(F)c(F)c1F,11,[O-]c1c(F)c(F)c(F)c(F)c1F,11
Oc1c(Br)cccc1Br,6.67,acid,Oc1c(Br)cccc1Br,7,[O-]c1c(Br)cccc1Br,7
O=[N+]([O-])c1cccc(O)c1[N+](=O)[O-],4.96,acid,O=[N+]([O-])c1cccc(O)c1[N+](=O)[O-],6,O=[N+]([O-])c1cccc([O-])c1[N+](=O)[O-],6
O=[N+]([O-])c1cc(O)cc([N+](=O)[O-])c1,6.69,acid,O=[N+]([O-])c1cc(O)cc([N+](=O)[O-])c1,9,O=[N+]([O-])c1cc([O-])cc([N+](=O)[O-])c1,9
O=[N+]([O-])c1cc(Cl)c(O)c(Cl)c1,3.6,acid,O=[N+]([O-])c1cc(Cl)c(O)c(Cl)c1,7,O=[N+]([O-])c1cc(Cl)c([O-])c(Cl)c1,7
O=[N+]([O-])c1cc(Br)c(O)c(Br)c1,3.39,acid,O=[N+]([O-])c1cc(Br)c(O)c(Br)c1,7,O=[N+]([O-])c1cc(Br)c([O-])c(Br)c1,7
O=[N+]([O-])c1cc(Cl)c(O)c([N+](=O)[O-])c1,2.2,acid,O=[N+]([O-])c1cc(Cl)c(O)c([N+](=O)[O-])c1,9,O=[N+]([O-])c1cc(Cl)c([O-])c([N+](=O)[O-])c1,9
O=[N+]([O-])c1ccc(O)c(Cl)c1,5.6,acid,O=[N+]([O-])c1ccc(O)c(Cl)c1,10,O=[N+]([O-])c1ccc([O-])c(Cl)c1,10
O=[N+]([O-])c1ccc(F)cc1O,6.07,acid,O=[N+]([O-])c1ccc(F)cc1O,7,O=[N+]([O-])c1ccc(F)cc1[O-],7
CCC/C=C(/C)C(=O)O,4.74,acid,CCC/C=C(/C)C(=O)O,8,CCC/C=C(/C)C(=O)[O-],8
O=C(O)COc1ccccc1,3.17,acid,O=C(O)COc1ccccc1,10,O=C([O-])COc1ccccc1,10
O=C(O)c1cc(I)cc(I)c1O,2.3,acid,O=C(O)c1cc(I)cc(I)c1O,8,O=C([O-])c1cc(I)cc(I)c1O,8
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,4.31,acid,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,7,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[O-],7
Cc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,4.23,acid,Cc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,10,Cc1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1,10
Cc1ccc([N+](=O)[O-])cc1O,8.64,acid,Cc1ccc([N+](=O)[O-])cc1O,7,Cc1ccc([N+](=O)[O-])cc1[O-],7
Cc1ccc(O)c([N+](=O)[O-])c1,7.55,acid,Cc1ccc(O)c([N+](=O)[O-])c1,10,Cc1ccc([O-])c([N+](=O)[O-])c1,10
O=C(O)[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O)CO,3.62,acid,O=C(O)[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O)CO,7,O=C([O-])[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O)CO,7
O=C(O)Cc1ccc(O)c(O)c1,4.25,acid,O=C(O)Cc1ccc(O)c(O)c1,9,O=C([O-])Cc1ccc(O)c(O)c1,9
CNCC(=O)O,2.35,acid,CNCC(=O)O,5,CNCC(=O)[O-],5
C[NH2+]CC(=O)[O-],10.18,base,C[NH2+]CC(=O)[O-],1,CNCC(=O)[O-],1
Cc1c(F)c(F)c(C(=O)O)c(F)c1F,2.0,acid,Cc1c(F)c(F)c(C(=O)O)c(F)c1F,11,Cc1c(F)c(F)c(C(=O)[O-])c(F)c1F,11
O=C(O)CCCC(=O)O,4.34,acid,O=C(O)CCCC(=O)O,4,O=C([O-])CCCC(=O)O,8
O=C([O-])CCCC(=O)O,5.41,acid,O=C([O-])CCCC(=O)O,4,O=C([O-])CCCC(=O)[O-],4
NC(=O)NCC(=O)O,3.89,acid,NC(=O)NCC(=O)O,3,NC(=O)NCC(=O)[O-],3
C[C@H](N)C(=O)O,2.35,acid,C[C@H](N)C(=O)O,4,C[C@H](N)C(=O)[O-],4
C[C@H]([NH3+])C(=O)[O-],10.0,base,C[C@H]([NH3+])C(=O)[O-],5,C[C@H](N)C(=O)[O-],5
O=C(O)CCCCC(=O)O,4.43,acid,O=C(O)CCCCC(=O)O,9,O=C([O-])CCCCC(=O)O,5
O=C([O-])CCCCC(=O)O,5.41,acid,O=C([O-])CCCCC(=O)O,9,O=C([O-])CCCCC(=O)[O-],9
COc1cc(CC(=O)O)ccc1O,4.41,acid,COc1cc(CC(=O)O)ccc1O,12,COc1cc(CC(=O)[O-])ccc1O,12
C[C@H](Oc1ccc(Cl)cc1Cl)C(=O)O,3.1,acid,C[C@H](Oc1ccc(Cl)cc1Cl)C(=O)O,4,C[C@H](Oc1ccc(Cl)cc1Cl)C(=O)[O-],4
CC(C)[C@H](N)C(=O)O,2.29,acid,CC(C)[C@H](N)C(=O)O,6,CC(C)[C@H](N)C(=O)[O-],6
CC(C)[C@H]([NH3+])C(=O)[O-],9.74,base,CC(C)[C@H]([NH3+])C(=O)[O-],7,CC(C)[C@H](N)C(=O)[O-],7
CC(C)(C(=O)O)C(=O)O,3.15,acid,CC(C)(C(=O)O)C(=O)O,5,CC(C)(C(=O)[O-])C(=O)O,8
CC(C)(C(=O)[O-])C(=O)O,6.06,acid,CC(C)(C(=O)[O-])C(=O)O,5,CC(C)(C(=O)[O-])C(=O)[O-],5
O=C(O)COc1ccccc1F,3.08,acid,O=C(O)COc1ccccc1F,10,O=C([O-])COc1ccccc1F,10
O=C(O)COc1cccc(F)c1,3.07,acid,O=C(O)COc1cccc(F)c1,11,O=C([O-])COc1cccc(F)c1,11
O=C(O)COc1ccc(F)cc1,3.56,acid,O=C(O)COc1ccc(F)cc1,10,O=C([O-])COc1ccc(F)cc1,10
Cc1ccc(O)c(C(C)(C)C)c1,11.5,acid,Cc1ccc(O)c(C(C)(C)C)c1,11,Cc1ccc([O-])c(C(C)(C)C)c1,11
O=C(O)COc1ccc(Cl)cc1Cl,2.64,acid,O=C(O)COc1ccc(Cl)cc1Cl,12,O=C([O-])COc1ccc(Cl)cc1Cl,12
COC(=O)[C@H](CC(=O)O)c1ccc([N+](=O)[O-])cc1,4.07,acid,COC(=O)[C@H](CC(=O)O)c1ccc([N+](=O)[O-])cc1,8,COC(=O)[C@H](CC(=O)[O-])c1ccc([N+](=O)[O-])cc1,8
CC(=O)[C@H](N)C(=O)OCc1ccccc1,5.2,base,CC(=O)[C@H]([NH3+])C(=O)OCc1ccccc1,14,CC(=O)[C@H](N)C(=O)OCc1ccccc1,14
C[S@](=O)c1cccc(C(C)(C)C)c1O,9.5,acid,C[S@](=O)c1cccc(C(C)(C)C)c1O,10,C[S@](=O)c1cccc(C(C)(C)C)c1[O-],10
CCCCP(=O)(CCCC)[C@@](C)(O)C(=O)O,2.94,acid,CCCCP(=O)(CCCC)[C@@](C)(O)C(=O)O,14,CCCCP(=O)(CCCC)[C@@](C)(O)C(=O)[O-],14
C[N+](C)(C)c1ccc(CC(=O)[O-])cc1,3.75,acid,C[N+](C)(C)c1ccc(CC(=O)O)cc1,13,C[N+](C)(C)c1ccc(CC(=O)[O-])cc1,13
C[N+](C)(C)CCc1ccccc1[O-],9.57,acid,C[N+](C)(C)CCc1ccccc1O,12,C[N+](C)(C)CCc1ccccc1[O-],12
COC(=O)c1cc(O)c2ccccc2c1,8.75,acid,COC(=O)c1cc(O)c2ccccc2c1,14,COC(=O)c1cc([O-])c2ccccc2c1,14
COc1ccc(C(=O)O)c2ccccc12,4.31,acid,COc1ccc(C(=O)O)c2ccccc12,14,COc1ccc(C(=O)[O-])c2ccccc12,14
C/C(=C\C(=O)O)c1cc(C)cc(C)c1O,4.54,acid,C/C(=C\C(=O)O)c1cc(C)cc(C)c1O,11,C/C(=C\C(=O)[O-])c1cc(C)cc(C)c1O,11
COC(=O)[C@](C)(CC(=O)O)c1ccccc1,4.46,acid,COC(=O)[C@](C)(CC(=O)O)c1ccccc1,5,COC(=O)[C@](C)(CC(=O)[O-])c1ccccc1,5
C[C@@H](CCCC(=O)O)c1ccccc1,4.8,acid,C[C@@H](CCCC(=O)O)c1ccccc1,7,C[C@@H](CCCC(=O)[O-])c1ccccc1,7
Cc1cc(C)c(O)c(C(C)(C)C)c1,12.04,acid,Cc1cc(C)c(O)c(C(C)(C)C)c1,11,Cc1cc(C)c([O-])c(C(C)(C)C)c1,11
CCCc1cccc(CCC)c1O,11.25,acid,CCCc1cccc(CCC)c1O,9,CCCc1cccc(CCC)c1[O-],9
CCc1cc(C(C)C)c(C)cc1O,10.85,acid,CCc1cc(C(C)C)c(C)cc1O,8,CCc1cc(C(C)C)c(C)cc1[O-],8
CCCCCCc1ccccc1O,10.66,acid,CCCCCCc1ccccc1O,12,CCCCCCc1ccccc1[O-],12
CCCCCCCCCCCC(=O)O,5.3,acid,CCCCCCCCCCCC(=O)O,13,CCCCCCCCCCCC(=O)[O-],13
O=[N+]([O-])c1cc(-c2ccccc2)c(O)c([N+](=O)[O-])c1,3.848,acid,O=[N+]([O-])c1cc(-c2ccccc2)c(O)c([N+](=O)[O-])c1,12,O=[N+]([O-])c1cc(-c2ccccc2)c([O-])c([N+](=O)[O-])c1,12
Oc1ccccc1-c1ccc(Br)cc1,10.96,acid,Oc1ccccc1-c1ccc(Br)cc1,13,[O-]c1ccccc1-c1ccc(Br)cc1,13
Oc1ccccc1-c1ccc(I)cc1,10.92,acid,Oc1ccccc1-c1ccc(I)cc1,13,[O-]c1ccccc1-c1ccc(I)cc1,13
O=[N+]([O-])c1ccc(-c2ccccc2O)cc1,10.42,acid,O=[N+]([O-])c1ccc(-c2ccccc2O)cc1,15,O=[N+]([O-])c1ccc(-c2ccccc2[O-])cc1,15
O=[N+]([O-])c1ccc(-c2ccccc2)cc1O,6.74,acid,O=[N+]([O-])c1ccc(-c2ccccc2)cc1O,12,O=[N+]([O-])c1ccc(-c2ccccc2)cc1[O-],12
O=[N+]([O-])c1cc(-c2ccccc2)ccc1O,6.73,acid,O=[N+]([O-])c1cc(-c2ccccc2)ccc1O,15,O=[N+]([O-])c1cc(-c2ccccc2)ccc1[O-],15
Oc1ccccc1/N=N/c1ccccc1O,7.8,acid,Oc1ccccc1/N=N/c1ccccc1O,15,[O-]c1ccccc1/N=N/c1ccccc1O,14
CCc1cc2c(O)ccc(CC)c2s1,9.56,acid,CCc1cc2c(O)ccc(CC)c2s1,13,CCc1cc2c([O-])ccc(CC)c2s1,13
CC(C)(C)c1ccc(SCC(=O)O)cc1,3.758,acid,CC(C)(C)c1ccc(SCC(=O)O)cc1,14,CC(C)(C)c1ccc(SCC(=O)[O-])cc1,14
CC(C)(C)c1ccc([S@@](=O)CC(=O)O)cc1,2.773,acid,CC(C)(C)c1ccc([S@@](=O)CC(=O)O)cc1,15,CC(C)(C)c1ccc([S@@](=O)CC(=O)[O-])cc1,15
O=[N+]([O-])c1cccc([N+](=O)[O-])c1Nc1ccc(Cl)cc1Cl,12.53,acid,O=[N+]([O-])c1cccc([N+](=O)[O-])c1Nc1ccc(Cl)cc1Cl,9,O=[N+]([O-])c1cccc([N+](=O)[O-])c1[N-]c1ccc(Cl)cc1Cl,9
O=[N+]([O-])c1cccc(S(=O)(=O)Nc2ccccc2)c1,7.5,acid,O=[N+]([O-])c1cccc(S(=O)(=O)Nc2ccccc2)c1,6,O=[N+]([O-])c1cccc(S(=O)(=O)[N-]c2ccccc2)c1,6
O=[N+]([O-])c1cccc(NS(=O)(=O)c2ccccc2)c1,6.94,acid,O=[N+]([O-])c1cccc(NS(=O)(=O)c2ccccc2)c1,9,O=[N+]([O-])c1cccc([N-]S(=O)(=O)c2ccccc2)c1,9
O=[N+]([O-])c1ccc(NS(=O)(=O)c2ccccc2)cc1,6.2,acid,O=[N+]([O-])c1ccc(NS(=O)(=O)c2ccccc2)cc1,9,O=[N+]([O-])c1ccc([N-]S(=O)(=O)c2ccccc2)cc1,9
C[N+](C)(C)CCCc1ccccc1[O-],9.78,acid,C[N+](C)(C)CCCc1ccccc1O,13,C[N+](C)(C)CCCc1ccccc1[O-],13
C[N+](C)(C)CCCc1cccc([O-])c1,9.64,acid,C[N+](C)(C)CCCc1cccc(O)c1,13,C[N+](C)(C)CCCc1cccc([O-])c1,13
COc1ccc(-c2ccccc2O)cc1,11.38,acid,COc1ccc(-c2ccccc2O)cc1,14,COc1ccc(-c2ccccc2[O-])cc1,14
Oc1ccccc1Cc1ccccc1O,7.5,acid,Oc1ccccc1Cc1ccccc1O,14,[O-]c1ccccc1Cc1ccccc1O,13
Oc1ccc(Cc2ccc(O)cc2)cc1,7.55,acid,Oc1ccc(Cc2ccc(O)cc2)cc1,14,[O-]c1ccc(Cc2ccc(O)cc2)cc1,13
CCOC(=O)c1cc(O)cc2ccccc12,8.89,acid,CCOC(=O)c1cc(O)cc2ccccc12,15,CCOC(=O)c1cc([O-])cc2ccccc12,15
O=C(O)c1ccc([C@@]23CCC[C@@H]2C3)cc1,4.02,acid,O=C(O)c1ccc([C@@]23CCC[C@@H]2C3)cc1,8,O=C([O-])c1ccc([C@@]23CCC[C@@H]2C3)cc1,8
CCc1ccc(O)c2c(CC)c(C)oc12,9.94,acid,CCc1ccc(O)c2c(CC)c(C)oc12,14,CCc1ccc([O-])c2c(CC)c(C)oc12,14
O=C(O)c1ccc(C2CCCCC2)cc1,4.39,acid,O=C(O)c1ccc(C2CCCCC2)cc1,14,O=C([O-])c1ccc(C2CCCCC2)cc1,14
COC(=O)C[C@](C)(Cc1ccccc1)C(=O)O,4.65,acid,COC(=O)C[C@](C)(Cc1ccccc1)C(=O)O,16,COC(=O)C[C@](C)(Cc1ccccc1)C(=O)[O-],16
CC[C@](CC(=O)OC)(C(=O)O)c1ccccc1,4.18,acid,CC[C@](CC(=O)OC)(C(=O)O)c1ccccc1,16,CC[C@](CC(=O)OC)(C(=O)[O-])c1ccccc1,16
CC[C@@](CC(=O)O)(C(=O)OC)c1ccccc1,4.46,acid,CC[C@@](CC(=O)O)(C(=O)OC)c1ccccc1,6,CC[C@@](CC(=O)[O-])(C(=O)OC)c1ccccc1,6
COC(=O)[C@@H]([C@H](C(=O)O)C(C)(C)C)C(C)(C)C,5.57,acid,COC(=O)[C@@H]([C@H](C(=O)O)C(C)(C)C)C(C)(C)C,16,COC(=O)[C@@H]([C@H](C(=O)[O-])C(C)(C)C)C(C)(C)C,16
O=C(O)c1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,1.42,acid,O=C(O)c1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,10,O=C([O-])c1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,10
O=C(O)c1cc(/N=N/c2ccccc2)ccc1O,2.3,acid,O=C(O)c1cc(/N=N/c2ccccc2)ccc1O,16,O=C([O-])c1cc(/N=N/c2ccccc2)ccc1O,16
O=C(O)c1ccccc1/N=N/c1ccc(O)c(O)c1,3.12,acid,O=C(O)c1ccccc1/N=N/c1ccc(O)c(O)c1,8,O=C([O-])c1ccccc1/N=N/c1ccc(O)c(O)c1,8
CC[C@@](CC(=O)OC)(Cc1ccc([N+](=O)[O-])cc1)C(=O)O,3.7,acid,CC[C@@](CC(=O)OC)(Cc1ccc([N+](=O)[O-])cc1)C(=O)O,20,CC[C@@](CC(=O)OC)(Cc1ccc([N+](=O)[O-])cc1)C(=O)[O-],20
COC(=O)C[C@](C)(Cc1ccc([N+](=O)[O-])cc1)C(=O)O,4.4,acid,COC(=O)C[C@](C)(Cc1ccc([N+](=O)[O-])cc1)C(=O)O,19,COC(=O)C[C@](C)(Cc1ccc([N+](=O)[O-])cc1)C(=O)[O-],19
CC[C@@](CC(=O)O)(C(=O)OC)c1ccc([N+](=O)[O-])cc1,4.29,acid,CC[C@@](CC(=O)O)(C(=O)OC)c1ccc([N+](=O)[O-])cc1,6,CC[C@@](CC(=O)[O-])(C(=O)OC)c1ccc([N+](=O)[O-])cc1,6
O=C(O)c1cc(/N=N/c2ccc(Cl)cc2)ccc1O,2.5,acid,O=C(O)c1cc(/N=N/c2ccc(Cl)cc2)ccc1O,16,O=C([O-])c1cc(/N=N/c2ccc(Cl)cc2)ccc1O,16
O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21,9.9,acid,O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21,17,O=C1c2ccccc2C(=O)c2c(O)ccc([O-])c21,16
O=C1c2cccc(O)c2C(=O)c2cccc(O)c21,9.49,acid,O=C1c2cccc(O)c2C(=O)c2cccc(O)c21,6,O=C1c2cccc(O)c2C(=O)c2cccc([O-])c21,17
O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,8.3,acid,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,6,O=C1c2cccc([O-])c2C(=O)c2c(O)cccc21,15
O=C1c2ccc(O)cc2C(=O)c2ccc(O)cc21,6.22,acid,O=C1c2ccc(O)cc2C(=O)c2ccc(O)cc21,6,O=C1c2ccc(O)cc2C(=O)c2ccc([O-])cc21,17
O=C(O)c1ccccc1C(=O)c1ccccc1,3.536,acid,O=C(O)c1ccccc1C(=O)c1ccccc1,16,O=C([O-])c1ccccc1C(=O)c1ccccc1,16
CC(=O)c1cccc(-c2ccccc2O)c1,10.91,acid,CC(=O)c1cccc(-c2ccccc2O)c1,15,CC(=O)c1cccc(-c2ccccc2[O-])c1,15
CCOc1ccc(-c2ccccc2O)cc1,11.39,acid,CCOc1ccc(-c2ccccc2O)cc1,15,CCOc1ccc(-c2ccccc2[O-])cc1,15
O=C(O)c1ccc([C@@]23CCCC[C@@H]2C3)cc1,4.16,acid,O=C(O)c1ccc([C@@]23CCCC[C@@H]2C3)cc1,8,O=C([O-])c1ccc([C@@]23CCCC[C@@H]2C3)cc1,8
CC(C)(C)c1cc(O)cc(C(C)(C)C)c1,10.29,acid,CC(C)(C)c1cc(O)cc(C(C)(C)C)c1,10,CC(C)(C)c1cc([O-])cc(C(C)(C)C)c1,10
Cc1ccccc1/N=N/c1ccc(O)c(C(=O)O)c1,2.12,acid,Cc1ccccc1/N=N/c1ccc(O)c(C(=O)O)c1,17,Cc1ccccc1/N=N/c1ccc(O)c(C(=O)[O-])c1,17
O=C(O)CP(=O)(c1ccccc1)c1ccccc1,3.62,acid,O=C(O)CP(=O)(c1ccccc1)c1ccccc1,11,O=C([O-])CP(=O)(c1ccccc1)c1ccccc1,11
Cc1ccc(OP(=O)(O)Oc2ccc(C)cc2)cc1,0.4,acid,Cc1ccc(OP(=O)(O)Oc2ccc(C)cc2)cc1,10,Cc1ccc(OP(=O)([O-])Oc2ccc(C)cc2)cc1,10
O=C(c1cccc(C(F)(F)F)c1)N(O)c1ccccc1,8.15,acid,O=C(c1cccc(C(F)(F)F)c1)N(O)c1ccccc1,19,O=C(c1cccc(C(F)(F)F)c1)N([O-])c1ccccc1,19
Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,3.644,acid,Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,17,Cc1ccc(C(=O)c2ccccc2C(=O)[O-])cc1,17
