smiles,pKa,marvin_atom,kind,site_atoms,site_kinds,site_names
CC/[NH+]=C(\N=[N+]=[N-])c1ccccc1O,9.4,10,acid,"[10, 2]","['acid', 'base']","['phenol', 'imine_N']"
CC1(C(=O)[O-])CCC=[N+]1[O-],2.95,9,base,"[9, 5]","['acid', 'base']","['carboxylic_acid', 'tert_amine']"
CC1(C)CCC(C(=O)[O-])=[N+]1[O-],2.8,9,base,"[9, 5]","['acid', 'base']","['carboxylic_acid', 'tert_amine']"
CC1(C)OC(=O)C[C@H]2[C@@H](C(=O)[O-])[NH2+]C[C@H]21,9.0,4,base,"[13, 4]","['acid', 'base']","['carboxylic_acid', 'sec_amine']"
CC1(C)O[C@@H]2[C@@H](CO[C@@]3(CNS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,10.7,16,acid,"[16, 20]","['acid', 'acid']","['sulfonamide_2', 'sulfonamide_1']"
CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]2CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]54[C@]2(C)/C(=N\OCC[NH+]2CCCCC2)C[C@@H]13,8.87,23,base,"[23, 19]","['base', 'base']","['tert_amine', 'imine_N']"
CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]2CC[C@]4(C)C(=CC(=O)O[C@H]4c4ccoc4)[C@]2(C)/C(=N\OCC[NH+]2CCOCC2)C[C@@H]13,6.84,22,base,"[22, 18]","['base', 'base']","['tert_amine', 'imine_N']"
CC1([N+](C)(C)C)CN(c2c(F)cc3c(=O)c(C(=O)[O-])cn(C4CC4)c3c2F)C1,6.03,19,acid,"[19, 3]","['acid', 'base']","['carboxylic_acid', 'aniline_tert']"
CC1C2c3ccccc3C(c3ccccc32)C1C(=O)Nc1ccccn1,5.27,19,base,"[19, 13]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC1C2c3ccccc3C(c3ccccc32)C1C(=O)Nc1cccnc1,4.14,18,base,"[18, 13]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC1C2c3ccccc3C(c3ccccc32)C1C(=O)Nc1ccncc1,5.27,17,base,"[17, 13]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CC1CC(C(=O)[O-])=[N+]([O-])C1(C)C,2.85,11,base,"[11, 4]","['acid', 'base']","['carboxylic_acid', 'tert_amine']"
CC1CCN(C(=O)c2ccc3cc(OCCC[NH+]4CCCCC4)ccc3n2)CC1,9.7,23,base,"[23, 18]","['base', 'base']","['tert_amine', 'pyridine_N']"
CC1CCN([O-])C1(C)C,5.9,4,base,"[8, 4]","['acid', 'base']","['hydroxylamine_OH', 'tert_amine']"
CC1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)[O-])cn1c23,6.8,25,acid,"[25, 15]","['acid', 'base']","['carboxylic_acid', 'aniline_tert']"
CC1N=CC[NH2+]1,7.86,5,base,"[2, 5]","['base', 'base']","['sec_amine', 'imine_N']"
CC1NC(=[NH+]CC(F)F)Nc2c(Cl)ccc(Cl)c21,7.8,10,base,"[10, 8]","['base', 'base']","['guanidine', 'aniline_sec']"
CC1NC(=[NH+]CC(F)F)Nc2ccc(Cl)c(Cl)c21,8.5,12,base,"[12, 10]","['base', 'base']","['guanidine', 'aniline_sec']"
CC1NC(=[NH+]CC(F)F)Nc2cccc(Cl)c21,8.9,11,base,"[11, 9]","['base', 'base']","['guanidine', 'aniline_sec']"
CC1NC(=[NH+]CC(F)F)Nc2ccccc21,9.7,10,base,"[10, 8]","['base', 'base']","['guanidine', 'aniline_sec']"
CC1[NH+]=C(N)Nc2cccc(Cl)c21,9.9,11,base,"[11, 9]","['base', 'base']","['guanidine', 'aniline_sec']"
CC1[NH+]=C(N)Nc2ccccc21,10.5,10,base,"[10, 8]","['base', 'base']","['guanidine', 'aniline_sec']"
CCC(=O)N(c1ccccc1)C1(COC)CC[NH+](CCc2cccs2)CC1,7.85,14,base,"[14, 4]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC(=O)N(c1ccccc1)C1(COC)CC[NH+](CCn2nnn(CC)c2=O)CC1,6.5,14,base,"[14, 4]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC(=O)N(c1ccccc1)C1CC[NH+](CCc2ccccc2)CC1,8.43,14,base,"[14, 4]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC(=O)NO,9.46,5,acid,"[5, 4]","['acid', 'base']","['hydroxamic_acid', 'hydroxylamine_N']"
CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,4.9,4,acid,"[4, 17]","['acid', 'base']","['sulfonamide_2', 'pyridine_N']"
CCC(=O)c1nc(C(=O)[O-])cs1,3.7,11,acid,"[11, 5]","['acid', 'base']","['carboxylic_acid', 'pyridine_N']"
CCC(C(=O)Nc1c(C)cccc1C)[NH+](CC)CC,7.91,14,base,"[14, 5]","['base', 'base']","['tert_amine', 'aniline_sec']"
CCC(C(=O)[O-])C(=O)N1CCCCC1,3.86,13,acid,"[13, 2]","['acid', 'acid']","['carboxylic_acid', 'malonate_dicarbonyl']"
CCC(CC)CNC(=O)c1cnc(Nc2cccc(Cl)c2)cc1C(C)C,6.02,11,base,"[11, 18]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CCC(CC)Nc1cc(C)[nH+]c(Oc2c(C)cc(C)cc2C)c1C,6.9,9,base,"[9, 5]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CCC1(C)C(=O)Nc2ccc(S(=O)(=O)Nc3ccc(F)cc3F)cc2C(=O)N1C,7.1,19,acid,"[19, 5]","['acid', 'base']","['sulfonamide_2', 'aniline_sec']"
CCC1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccc(Cl)cc3)ccc2N(C)C1=O,7.9,18,acid,"[18, 5]","['acid', 'base']","['sulfonamide_2', 'aniline_tert']"
CCC1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccc(Cl)cc3)ccc2NC1=O,8.1,18,acid,"[18, 5]","['acid', 'base']","['sulfonamide_2', 'aniline_sec']"
CCC1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccc(OC)cc3)ccc2NC1=O,5.6,18,acid,"[18, 5]","['acid', 'base']","['sulfonamide_2', 'aniline_sec']"
CCC1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccccc3)ccc2NC1=O,8.7,18,acid,"[18, 5]","['acid', 'base']","['sulfonamide_2', 'aniline_sec']"
CCC1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccccc3Cl)ccc2NC1=O,7.2,18,acid,"[18, 5]","['acid', 'base']","['sulfonamide_2', 'aniline_sec']"
CCC1(CC)CNc2ccc(S(=O)(=O)Nc3ccc(F)cc3F)cc2C(=O)N1,8.0,17,acid,"[17, 4]","['acid', 'base']","['sulfonamide_2', 'aniline_sec']"
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2[C@H]5O)[NH+]3C1O,6.5,13,base,"[13, 22]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC1N=CC[NH2+]1,7.73,6,base,"[3, 6]","['base', 'base']","['sec_amine', 'imine_N']"
CCCC(=O)NO,9.48,6,acid,"[6, 5]","['acid', 'base']","['hydroxamic_acid', 'hydroxylamine_N']"
CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1,9.596,19,base,"[19, 5]","['base', 'base']","['sec_amine', 'aniline_sec']"
CCCC(C(=O)Nc1c(C)cccc1C)[NH+](CC)CC,7.89,15,base,"[15, 6]","['base', 'base']","['tert_amine', 'aniline_sec']"
CCCC1=NC(=O)C(c2ccccc2)=C1[O-],4.6,9,acid,"[9, 4]","['acid', 'base']","['enol', 'imine_N']"
CCCCC(C(=O)Nc1c(C)cccc1C)[NH+](CC)CC,7.81,16,base,"[16, 7]","['base', 'base']","['tert_amine', 'aniline_sec']"
CCCCC/C(N)=N/[NH+](C)C,10.4,6,base,"[6, 7]","['base', 'base']","['amidine', 'tert_amine']"
CCCCCC(=O)NO,9.58,8,acid,"[8, 7]","['acid', 'base']","['hydroxamic_acid', 'hydroxylamine_N']"
CCCCCCC(=O)NO,9.62,9,acid,"[9, 8]","['acid', 'base']","['hydroxamic_acid', 'hydroxylamine_N']"
CCCCCCCC(=O)NO,9.19,10,acid,"[10, 9]","['acid', 'base']","['hydroxamic_acid', 'hydroxylamine_N']"
CCCCCCCCCCCCCC(=O)N(O)c1ccccc1,9.05,22,acid,"[22, 15]","['acid', 'base']","['hydroxamic_acid', 'aniline_tert']"
CCCCCCCNc1c2ccc(Cl)cc2[nH+]c2ccc(OC)cc12,7.5,15,base,"[15, 7]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CCCCCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2cccc(N)n2)cc1,6.86,24,base,"[24, 25]","['base', 'base']","['pyridine_N', 'aniline']"
CCCCCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,11.0,15,base,"[15, 5]","['base', 'base']","['guanidine', 'aniline_tert']"
CCCCCNN,6.25,5,base,"[6, 5]","['base', 'base']","['prim_amine', 'sec_amine']"
CCCCCNc1nc2ccccc2n1CCc1ccccc1,7.4,7,base,"[7, 5]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CCCCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2cccc(N)n2)cc1,6.86,23,base,"[23, 24]","['base', 'base']","['pyridine_N', 'aniline']"
CCCCN(C)N(C)CCCC,7.16,6,base,"[4, 6]","['base', 'base']","['tert_amine', 'tert_amine']"
CCCCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,10.97,14,base,"[14, 4]","['base', 'base']","['guanidine', 'aniline_tert']"
CCCCN=C(C)N[NH+](C)C,10.4,4,base,"[4, 8]","['base', 'base']","['amidine', 'tert_amine']"
CCCCNC(=O)NO,11.0,8,acid,"[8, 7]","['acid', 'base']","['hydroxamic_acid', 'hydroxylamine_N']"
CCCCNC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,6.86,24,base,"[24, 25]","['base', 'base']","['pyridine_N', 'aniline']"
CCCCNN,7.82,4,base,"[5, 4]","['base', 'base']","['prim_amine', 'sec_amine']"
CCCCOc1cc(C(=O)NCC[NH+](CC)CC)c2ccccc2n1,8.85,20,base,"[20, 14]","['base', 'base']","['tert_amine', 'pyridine_N']"
CCCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2cccc(N)n2)cc1,6.86,22,base,"[22, 23]","['base', 'base']","['pyridine_N', 'aniline']"
CCCCOc1noc2c1C[NH2+]CC2,7.6,12,base,"[12, 9]","['base', 'base']","['sec_amine', 'pyridine_N']"
CCCC[NH+]1CCCCC1C(=O)Nc1c(C)cccc1C,7.715,4,base,"[4, 12]","['base', 'base']","['tert_amine', 'aniline_sec']"
CCCC[NH+]=C1Nc2ccccc2C(C)N1,10.7,4,base,"[4, 6]","['base', 'base']","['guanidine', 'aniline_sec']"
CCCC[NH2+]CC(=O)Nc1c(C)cccc1C,8.04,4,base,"[4, 8]","['base', 'base']","['sec_amine', 'aniline_sec']"
CCCCc1ccc(C(=O)[O-])nc1,5.7,12,acid,"[12, 8]","['acid', 'base']","['carboxylic_acid', 'pyridine_N']"
CCCCc1nc(Cl)c(CC(=O)OC)n1Cc1ccc(NC(=O)c2ccc(Cl)cc2)cc1,4.5,5,base,"[5, 16]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CCCN(C)N,7.35,5,base,"[5, 3]","['base', 'base']","['prim_amine', 'tert_amine']"
CCCN(C)N(C)CCC,7.05,5,base,"[3, 5]","['base', 'base']","['tert_amine', 'tert_amine']"
CCCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,11.0,13,base,"[13, 3]","['base', 'base']","['guanidine', 'aniline_tert']"
CCCN(N)CCC,7.0,7,base,"[7, 3]","['base', 'base']","['prim_amine', 'tert_amine']"
CCCNC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,6.86,23,base,"[23, 24]","['base', 'base']","['pyridine_N', 'aniline']"
CCCNN,7.92,3,base,"[4, 3]","['base', 'base']","['prim_amine', 'sec_amine']"
CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2cccc(N)n2)cc1,6.86,21,base,"[21, 22]","['base', 'base']","['pyridine_N', 'aniline']"
CCCOc1noc2c1C[NH2+]CC2,7.6,11,base,"[11, 8]","['base', 'base']","['sec_amine', 'pyridine_N']"
CCCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)C[NH+](C1CCOC1)CC2,5.8,17,base,"[2, 17]","['acid', 'base']","['sulfone_CH', 'tert_amine']"
CCCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)C[NH+](C1CCOCC1)CC2,7.3,17,base,"[2, 17]","['acid', 'base']","['sulfone_CH', 'tert_amine']"
CCCSC(=O)CCCc1cnc[nH]1,7.55,11,base,"[13, 11]","['acid', 'base']","['imidazole_NH', 'pyridine_N']"
CCC[NH+](CC)C(CC)C(=O)Nc1c(C)cccc1C,6.62,3,base,"[3, 11]","['base', 'base']","['tert_amine', 'aniline_sec']"
CCC[NH+](CCC)CC(=O)Nc1c(C)cccc1C,7.68,3,base,"[3, 10]","['base', 'base']","['tert_amine', 'aniline_sec']"
CCC[NH+](CCC)Cc1no[n+]([O-])c1C#N,5.46,3,base,"[3, 13]","['base', 'base']","['tert_amine', 'pyridine_N']"
CCC[NH+]1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,8.07,3,base,"[3, 11]","['base', 'base']","['tert_amine', 'aniline_sec']"
CCC[NH+]1CCN(c2ccc(C#N)cc2)CC1,7.78,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]1CCN(c2ccc(C(F)(F)F)cc2)CC1,7.84,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]1CCN(c2ccc(C(N)=O)cc2)CC1,7.84,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]1CCN(c2ccc(C)cc2)CC1,7.92,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]1CCN(c2ccc(Cl)cc2)CC1,7.83,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]1CCN(c2ccc(OC)cc2)CC1,7.88,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]1CCN(c2cccc(C#N)c2)CC1,7.67,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]1CCN(c2cccc(C(F)(F)F)c2)CC1,7.81,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]1CCN(c2cccc(C(N)=O)c2)CC1,7.76,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]1CCN(c2cccc(C)c2)CC1,7.83,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]1CCN(c2cccc(Cl)c2)CC1,7.83,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]1CCN(c2cccc(OC)c2)CC1,7.86,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]1CCN(c2ccccc2)CC1,7.96,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]1CCN(c2ccccc2C#N)CC1,7.92,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]1CCN(c2ccccc2C(F)(F)F)CC1,8.8,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]1CCN(c2ccccc2C(N)=O)CC1,8.14,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]1CCN(c2ccccc2C)CC1,8.39,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]1CCN(c2ccccc2Cl)CC1,8.07,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]1CCN(c2ccccc2OC)CC1,8.29,3,base,"[3, 6]","['base', 'base']","['tert_amine', 'aniline_tert']"
CCC[NH+]=C1Nc2ccccc2C(C)N1,10.7,3,base,"[3, 5]","['base', 'base']","['guanidine', 'aniline_sec']"
CCC[NH2+]C(C)C(=O)Nc1ccccc1C,7.673333,3,base,"[3, 8]","['base', 'base']","['sec_amine', 'aniline_sec']"
CCC[NH2+]CC(=O)Nc1c(C)cccc1C,8.01,3,base,"[3, 7]","['base', 'base']","['sec_amine', 'aniline_sec']"
CCCc1[nH]cc[nH+]1,8.02,7,base,"[4, 7]","['acid', 'base']","['imidazole_NH', 'pyridine_N']"
CCCc1ccc(O)c(-c2cc(CCC)ccc2O)c1,9.3,19,acid,"[19, 15]","['acid', 'acid']","['phenol', 'phenol']"
CCCc1ccnc2c1ccc1cccnc12,5.45,6,base,"[6, 13]","['base', 'base']","['pyridine_N', 'pyridine_N']"
CCCc1nc2ccc(OCC)cc2[nH]1,6.12,11,base,"[4, 11]","['acid', 'base']","['imidazole_NH', 'pyridine_N']"
CCN(C)N,7.3,4,base,"[4, 2]","['base', 'base']","['prim_amine', 'tert_amine']"
CCN(C)N(C)C,6.38,2,base,"[2, 4]","['base', 'base']","['tert_amine', 'tert_amine']"
CCN(C)N(C)CC,6.8,4,base,"[2, 4]","['base', 'base']","['tert_amine', 'tert_amine']"
CCN(C)N(CC)CC,7.3,4,base,"[2, 4]","['base', 'base']","['tert_amine', 'tert_amine']"
CCN(C)NC,6.85,4,base,"[4, 2]","['base', 'base']","['sec_amine', 'tert_amine']"
CCN(C1=[NH+]CCN1)c1c(Br)cccc1Br,11.1,12,base,"[12, 2]","['base', 'base']","['guanidine', 'aniline_tert']"
CCN(CC)C(=O)NO,10.8,8,acid,"[8, 7]","['acid', 'base']","['hydroxamic_acid', 'hydroxylamine_N']"
CCN(CC)CCS(=O)(=O)c1ccc(OC)c(OC)c1OC,7.41,2,base,"[6, 2]","['acid', 'base']","['sulfone_CH', 'tert_amine']"
CCN(CC)N(C)C,6.88,2,base,"[2, 5]","['base', 'base']","['tert_amine', 'tert_amine']"
CCN(CC)N(CC)CC,7.31,5,base,"[2, 5]","['base', 'base']","['tert_amine', 'tert_amine']"
CCN(CC)NC,7.14,5,base,"[5, 2]","['base', 'base']","['sec_amine', 'tert_amine']"
CCN(CC)c1ccc(C)c2nc(-c3c(OC)cc(COC)cc3OC)c(C)cc12,5.86,2,base,"[14, 2]","['base', 'base']","['pyridine_N', 'aniline_tert']"
CCN(CC)c1ccc(OC)c2nc(-c3c(OC)cc(COC)cc3OC)c(C)cc12,6.01,2,base,"[14, 2]","['base', 'base']","['pyridine_N', 'aniline_tert']"
CCN(CC)c1ccccn1,7.32,10,base,"[10, 2]","['base', 'base']","['pyridine_N', 'aniline_tert']"
CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)[O-])n2cccnc12)C(=O)C1CC1,3.7,22,acid,"[22, 15]","['acid', 'base']","['carboxylic_acid', 'pyridine_N']"
CCN(N)CC,7.63,5,base,"[5, 2]","['base', 'base']","['prim_amine', 'tert_amine']"
CCN([O-])CC,5.62,2,base,"[5, 2]","['acid', 'base']","['hydroxylamine_OH', 'tert_amine']"
CCN1CNS(=O)(=O)c2cc(Cl)ccc21,9.33,4,acid,"[4, 2]","['acid', 'base']","['sulfonamide_2', 'aniline_tert']"
CCNC(=O)c1ccc(-c2ccc(-c3ccccc3)n2Cc2cccc(N)n2)cc1,6.86,22,base,"[22, 23]","['base', 'base']","['pyridine_N', 'aniline']"
CCNN,7.95,2,base,"[3, 2]","['base', 'base']","['prim_amine', 'sec_amine']"
CCNN(C)C,6.58,2,base,"[2, 3]","['base', 'base']","['sec_amine', 'tert_amine']"
CCNN(C)CC,6.81,2,base,"[2, 3]","['base', 'base']","['sec_amine', 'tert_amine']"
CCNN(CC)CC,7.08,2,base,"[2, 3]","['base', 'base']","['sec_amine', 'tert_amine']"
CCNNC,7.5,3,base,"[2, 3]","['base', 'base']","['sec_amine', 'sec_amine']"
CCNNCC,7.66,3,base,"[2, 3]","['base', 'base']","['sec_amine', 'sec_amine']"
CCOC(=O)C1CCc2nc3c(ccn4ccnc34)cc2C1,4.08,17,base,"[17, 20]","['base', 'base']","['pyridine_N', 'pyridine_N']"
CCOC(=O)c1cc(-c2ccccc2)nnc1NCC[NH+]1CCOCC1,6.67,14,base,"[14, 11]","['base', 'base']","['tert_amine', 'aniline_sec']"
CCOC(=O)c1ccccc1NC(=O)C1=C(O)C(=O)N(C)C1,6.49,21,acid,"[21, 11]","['acid', 'base']","['enol', 'aniline_sec']"
CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6C[NH+](CCO)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,8.4,37,base,"[31, 37]","['base', 'base']","['tert_amine', 'tert_amine']"
CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6C[NH2+]C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,10.7,37,base,"[37, 31]","['base', 'base']","['sec_amine', 'tert_amine']"
CCOc1ccc(NC(=O)c2cn3c(C)c(C)nc3c3c2CCC(c2ccccc2)O3)cc1,6.57,17,base,"[17, 9]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CCOc1ccc2[nH+]c(/C=C/C=C/c3ccccc3)cc(N)c2c1,9.5,12,base,"[12, 23]","['base', 'base']","['pyridine_N', 'aniline']"
CCOc1ccc2[nH+]c(/C=C/c3ccccc3)cc(N)c2c1,9.5,12,base,"[12, 21]","['base', 'base']","['pyridine_N', 'aniline']"
CCOc1ccc2[nH+]c3c(c(N4CCOCC4)c2c1)CCC3,7.11,12,base,"[12, 16]","['base', 'base']","['pyridine_N', 'aniline_tert']"
CCOc1ccc2nc(C(C)C)[nH]c2c1,6.17,11,base,"[9, 11]","['acid', 'base']","['imidazole_NH', 'pyridine_N']"
CCOc1ccc2nc(C)[nH]c2c1,6.22,11,base,"[9, 11]","['acid', 'base']","['imidazole_NH', 'pyridine_N']"
CCOc1ccc2nc(CC(C)C)[nH]c2c1,6.07,11,base,"[9, 11]","['acid', 'base']","['imidazole_NH', 'pyridine_N']"
CCOc1ccc2nc(CC)[nH]c2c1,6.27,10,base,"[3, 10]","['acid', 'base']","['imidazole_NH', 'pyridine_N']"
CCOc1ccc2nc[nH]c2c1,5.57,11,base,"[9, 11]","['acid', 'base']","['imidazole_NH', 'pyridine_N']"
CCOc1ccccc1Nc1c2ccccc2nc2ccccc12,7.85,17,base,"[17, 9]","['base', 'base']","['pyridine_N', 'aniline_sec']"
CCOc1ccnc(=O)[nH]1,10.7,9,acid,"[9, 6]","['acid', 'base']","['aromatic_lactam', 'pyridine_N']"
CCOc1nccc(=O)[nH]1,8.2,4,acid,"[4, 9]","['acid', 'base']","['aromatic_lactam', 'pyridine_N']"
CCOc1noc2c1C[NH+](C)CC2,6.6,10,base,"[10, 7]","['base', 'base']","['tert_amine', 'pyridine_N']"
CCOc1noc2c1C[NH2+]CC2,7.6,10,base,"[10, 7]","['base', 'base']","['sec_amine', 'pyridine_N']"
CCS(=O)(=O)c1cc(OC)c(OC)c(C(=O)N[C@@H]2C[C@H]3CC[C@@H](C2)[NH+]3Cc2ccccc2)c1,8.9,25,base,"[1, 25]","['acid', 'base']","['sulfone_CH', 'tert_amine']"
CCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)C[NH+](C1CCOC1)CC2,5.9,16,base,"[1, 16]","['acid', 'base']","['sulfone_CH', 'tert_amine']"
CCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)C[NH+](C1CCOCC1)CC2,6.9,16,base,"[1, 16]","['acid', 'base']","['sulfone_CH', 'tert_amine']"
CC[C@]1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccc(C(F)(F)F)cc3)ccc2NC1=O,6.9,18,acid,"[18, 5]","['acid', 'base']","['sulfonamide_2', 'aniline_sec']"
CC[C@]1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccc(F)cc3F)ccc2NC1=O,7.3,18,acid,"[18, 5]","['acid', 'base']","['sulfonamide_2', 'aniline_sec']"
CC[C@]1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccc(OC(F)F)cc3)ccc2NC1=O,7.9,18,acid,"[18, 5]","['acid', 'base']","['sulfonamide_2', 'aniline_sec']"
CC[C@]12CCC[NH+]3CC[C@@]4(c5cccc(OC)c5N(C(C)=O)[C@H]4CC1)[C@@H]32,7.57,6,base,"[6, 17]","['base', 'base']","['tert_amine', 'aniline_tert']"
CC[N+](C)(C)C1CN(c2cc3c(cc2F)c(=O)c(C(=O)[O-])cn3C2CC2)C1,6.46,26,acid,"[26, 7]","['acid', 'base']","['carboxylic_acid', 'aniline_tert']"
CC[NH+](C)Cc1no[n+]([O-])c1C#N,5.79,2,base,"[2, 10]","['base', 'base']","['tert_amine', 'pyridine_N']"
CC[NH+](CC)/N=C(\C)N,10.6,5,base,"[5, 2]","['base', 'base']","['amidine', 'tert_amine']"
CC[NH+](CC)C(C)C(=O)Nc1c(C)cccc1C,8.053333,2,base,"[2, 9]","['base', 'base']","['tert_amine', 'aniline_sec']"
CC[NH+](CC)C(C)CC(=O)Nc1c(C)cccc1C,9.03,2,base,"[2, 10]","['base', 'base']","['tert_amine', 'aniline_sec']"
CC[NH+](CC)C(C)CCC(=O)Nc1c(C)cccc1C,9.87,2,base,"[2, 11]","['base', 'base']","['tert_amine', 'aniline_sec']"
CC[NH+](CC)C(C)CCCC(=O)Nc1c(C)cccc1C,10.1,2,base,"[2, 12]","['base', 'base']","['tert_amine', 'aniline_sec']"
CC[NH+](CC)CC(=O)N(C)c1ccccc1C,8.74,2,base,"[2, 8]","['base', 'base']","['tert_amine', 'aniline_tert']"
CC[NH+](CC)CC(=O)Nc1c(C)cc(C)cc1C,7.9,2,base,"[2, 8]","['base', 'base']","['tert_amine', 'aniline_sec']"
CC[NH+](CC)CC(=O)Nc1c(C)cccc1C,7.873636,2,base,"[2, 8]","['base', 'base']","['tert_amine', 'aniline_sec']"
CC[NH+](CC)CC(=O)Nc1cc(C)cc(C)c1,8.01,2,base,"[2, 8]","['base', 'base']","['tert_amine', 'aniline_sec']"
CC[NH+](CC)CC(=O)Nc1cc(C)ccc1C,7.92,2,base,"[2, 8]","['base', 'base']","['tert_amine', 'aniline_sec']"
CC[NH+](CC)CC(=O)Nc1ccc(C)cc1,8.13,2,base,"[2, 8]","['base', 'base']","['tert_amine', 'aniline_sec']"
CC[NH+](CC)CC(=O)Nc1ccc(C)cc1C,7.95,2,base,"[2, 8]","['base', 'base']","['tert_amine', 'aniline_sec']"
CC[NH+](CC)CC(=O)Nc1ccccc1,8.0,2,base,"[2, 8]","['base', 'base']","['tert_amine', 'aniline_sec']"
CC[NH+](CC)CC(=O)Nc1ccccc1C,7.95,2,base,"[2, 8]","['base', 'base']","['tert_amine', 'aniline_sec']"
CC[NH+](CC)CCC(=O)Nc1c(C)cccc1C,8.895,2,base,"[2, 9]","['base', 'base']","['tert_amine', 'aniline_sec']"
